string	occurrences	volumes	authors	ignore	alias	comment
Abbey	30	10	10	1		
Abbotsford	7	6	5	0	Melrose, UK	Melrose, UK
Abelard	6	4	4	1		
Abraham	17	11	9	1		
ABYDOS	11	8	8	0	Canakkale, Turkey	No longer exists; closest is Canakkle, Turkey
Abyssinia	10	7	7	0	Ethiopia	
Acapulco	19	6	6	0		
Ackland	5	2	2	1		
Acropolis	25	8	8	0		
Acton	45	4	4	0		
Ada	47	15	14	1		
Adam	9	8	7	1		
Adela	36	5	4	1		
Adelaide	930	34	29	1		Almost always used as name
Adelaide Adelaide	107	12	10	1		
Adelaide Adelaide Adelaide	21	6	6	1		
Adelaide Adelaide Adelaide Adelaide	5	2	2	1		
Adele	83	7	6	1		
Adelphi	7	6	6	1		Usually a hotel or theater
Aden	31	7	7	0		
Adirondacks	9	6	5	0		
Adriatic	57	18	18	0	Adriatic sea	Adriatic Sea
Aegean	17	9	9	0	Aegean sea	
Aegean sea	12	5	5	0		
afar	188	145	106	1		
AFGHANISTAN	6	2	2	0		
Africa	664	198	138	0		
Africans	15	13	11	1		
Agnes	117	40	28	1		
Agra	6	5	4	0		
Ahab	7	2	2	1		
Ahem	14	13	11	1		
Ailsa	5	2	2	1		
Aix	5	4	4	0		
Alabama	227	83	66	0		
Alabama river	6	3	3	0		
Aladdin	10	10	10	1		
Alamo	32	8	7	0		
Alaska	11	9	8	0		
Alba	6	3	3	1		
Albany	477	140	96	0		
Albany Street	6	3	2	0	Albany Street, London, England, UK	Albany Street, London, UK
Albemarle	15	6	5	0		
Albert	7	4	4	1		
Albion	11	11	10	0	Great Britain	
Alcibiades	23	17	15	1		
Aleppo	7	5	3	0		
Alexandria	196	68	47	0		Usually VA, but also Egypt; currently looks up VA
Algeria	31	7	7	0		
Algiers	72	25	22	0		
Algonquin	9	6	5	0		
Alhambra	46	25	20	0	Alhambra, Spain	Alhambra, Spain
Alice	32	23	20	1		
Alla	9	3	3	1		
Allah	10	5	4	1		
Allahabad	9	3	3	0		
Allegany	14	2	2	0		
Allegany County	11	2	2	0		
Alleghanies	5	4	4	0		
Allegheny	58	3	3	0		
Allston	15	12	11	0		
Alpha	12	3	3	1		
Alsace	70	2	2	0		
Alsatia	8	3	3	1		Usually metaphorical for old London district of crime
Alta California	5	5	5	0		
Altenberg	5	2	2	0		
Alton	12	5	5	0		
Amalfi	12	2	2	0		
Amazon	95	60	44	0		
Amelia	76	17	16	1		
America	3300	640	330	0	United States	
America Esq.	5	4	4	1		
american	159	107	77	1		
American States	7	7	7	0	United States	
Americans	33	26	21	1		
Amerika	5	5	3	0	United States	
Amerikin	11	4	2	1		
Ameriky	23	22	19	0	United States	
Ames	5	3	3	0		
Amherst	25	6	6	0		
Amiens	13	4	4	0		
Amsterdam	147	33	30	0		
Amy	37	14	13	1		
Andalusia	22	15	15	0		
Andes	6	4	4	0		
Andover	22	12	10	0	Andover Massachusetts	
Androscoggin	23	6	6	0		
Angel	8	4	4	1		
ANGELINA	56	7	7	1		
Angola	7	4	4	0		
ANITA	7	5	5	1		
Anjou	22	6	6	0		
Ann	16	13	10	1		
Ann Street	6	5	5	0		
Anna	19	12	11	1		
Annapolis	33	13	10	0		
Anne	9	6	6	1		
Annie	11	8	8	1		
Annunciation	5	2	2	1		
Ansonia	6	2	2	0		
Antietam	41	17	14	0		
Antioch	64	15	13	0	Antakya, Turkey	Antakya, Turkey
Antonia	13	3	3	1		
Antonio	47	16	16	1		
Antwerp	17	12	10	0		
Apalachicola	8	3	3	0		
Apennines	20	13	12	0		
Appenzell	6	2	2	0		
Appleton	31	6	5	0		
Appomattox	27	6	3	0		
Aquia Creek	5	4	4	0		
Arabia	45	29	25	0		
Arabian	24	16	13	1		
Arabs	12	11	10	1		
Aragon	5	3	3	0		
Arapahoe	6	2	2	0		
Arcadia	60	40	30	1		
Arctic Ocean	6	4	4	0		
Arden	60	9	8	1		Personal name
arizona	13	9	5	0		
Ark.	11	10	10	0	Arkansas	
Arkansas	149	61	44	0		
Arkansaw	22	6	4	0	Arkansas	
Arles	6	2	2	0		
Arlington	50	18	18	0		
Arlington Heights	5	4	3	0		
Armagh	8	3	3	0		
Armenia	5	5	5	0		
Arnold	7	5	4	1		
Aroostook	11	4	4	0		
Arrah	116	47	32	1		Exclamation
arras	5	4	4	0		
Arthur	11	10	9	1		
Arundel	152	2	2	1		Name
Ascalon	8	4	4	0		
Asenath	5	2	2	1		Personal name
Ash Grove	52	3	2	0		
Ashantee	19	6	5	0		
Ashburton	10	3	2	1		Name
Ashford	6	2	2	0		
Ashley	29	7	6	1		
Ashton	14	5	5	0		
Ashurst	13	3	2	0		
Asia	383	91	75	0		
Asia Africa	6	4	4	1		
Asia Minor	6	4	4	0	Turkey	
Asniéres	6	2	2	0		
Aspasia	6	4	4	0		
aspen	21	17	14	1		Name
Assisi	5	4	4	0		
Assyria	9	6	5	0	Iraq	Iraq
Astor	29	18	17	1		
