,bookid,name,has_disability,words,bookname,gender
0,8469,Linton,1,had stood whispered stood ate look does replied was talked see laid persevered possessed asked asked loves melt shnke learns learns comes came been is arrested step said made refuses affirmed contrives wish resort neglected love thought has had gave had exclaimed descended asked mean said defending rested 'D choked coming gathered opened yield said unbarred love miss fallen provoking persisted guess rising spoke took tended watching is lavished reply get loved love has meets laid took broken be risen hurt sprang meant said walked depart hear answered be sent had appeared lay uttered spent is been come was was caught let bear detests chase kill extinguished doted is has took destroyed groaned boasted send displayed trusted say demanded ordered spoke done been was flew calculate was had said began trailed sat suffer pitied prepare going like recover love live had sank ran took ceased gaze replied stirred eat come come added return learned getting go have show is sends told answered said died said stood been calling grown recall stepped cried answered have come kept gathered stepped giggled exhibited know said asked looked understand repeated said lived coming was dying refused dying go murmured said goes denied Do murmured began replied said looked slid answered replie have recover had is do were seemed sat said did got recovered begged reddened imagined spell learn wished was conned lying said asked advanced said swore clenched kicked wrought grasped shrieked shrieked fell heard milking inquired caused conveying stopped killed laid speak has open sat had let be behaved write leave pleased expect seen sighed be come returned felt felt accompany said wished continue complied yielded forgot bid appear had held glanced looked uttered 's wakes evaporated wish answered made told started separated answered coming clung had watching selected shivered thrown sobbed assumed said is last asked continued appeared venture shown be be shouted sunk made fell whispered 'Ll clung drew said answered was exhibited entered menaced had was clasped felt said dare make recommended got requires play 'Ll lay sucked replied took overflowing divined wait quit felt determined die had gone begged had said soldered gets know have turned said repeated bequeathed meddle knock served flogged flogged deliver encourage marry refuse accepted tolerate natisfy told met kill loved let love resemble restored own entertain see take terrified told held compelled Inform tell hate loved tell provoke knock checking push know left tease bring seen cheer loved esteem knowing blotted worked exasperate give christened take deliver left have fatigued placed seated leave desired see see love asked keep mused like compelled engaged urged obliged get see recognise sends see kissed rendered ta sit Is questioned understand tittered see dropped tell convince love cried added sang humouring direct like quitted asked beat charmed see despised tease seized swung left throwing pull dragging killed abusing told see reach roused threw puzzled leave compelled scold ordering wandered murmured left tell convulsed see accompany refused filling mean persuading lovo marry frighten catching altered buried terrified allowed gone hurt touched stupid handsome sulky sick capable worse mean discreet ready glad dead nothing degree certain hush being being welcome willing weeks younger silent reluctant much taller simple conjecture darling good white dead aware able unrestrained better pleasant better worse lively powerless dead dead safe sister mother eyes nose sister visits resolution presence is antipathy sake person discourse neck fingers tone mouth love affection friend brother movements words wife company talk baseness irritation distance breath ribs existence coming ears books voice arms demand arm face nephew proxy attachment being heart quiescence servants footmen absence aim efforts guest arms anxiety presence bereavement estate daughter son head eyes features smooth lids lips spirit days head assistance match presence knowledge day rage malignity hands father maintenance absence arrival cap side features account health bed father journey pillow curls arms fingers eyes master heart face voice features lessons evenings life property cap age features eye looks form manner cousin seat energies letters cousin laugh father neighbourhood sake heart death cousin tones brow behest absence hair father chair head seat disposition behaviour cousin idea chair good-humour hand name ignorance attempt circumstances c face fist face hands cries mouth work room mouth friends parlour father selfishness sufferings things nephew father desire father request position family epistles father assent uncle lack incapacity person lethargy assertion side head breast humours mood father sufferings slumber name eyes father circumstances state letters character moments cousin frame sobs deathbed illness eye head account uncle sweetheart father strength cousin breath speech self arms coward agony letters last stock tales kindness mouth lips father enemy son decease nephew family re petition life grave side room face father uncle,Wuthering Heights,1
1,inu.30000003130071,Clifford,1,went had came had drive pretended was was had smiled take marry felt took marry married came professed left had stood hated had wore looked had saw was bear wanted talked thought asked said wanted bring was mind know had invited invited feel lived inviting hesitate had found made know discovered had used wanted wanted expand knew asked said said turned said said laughed had looked had looked appeared seen be be know know knows know does said crept conquered wanted felt wrote seemed wanted hated read wanted wrote reaped longed known wanted give making retires said talked held blushed said stammered got had protested think is made chuffed had steered puffed got loved loved felt wanted wanted been get saw having hate sat stopped risk sat sat said sat said said said said looked said said look started stopped said noted pushed breathed looked asked notice managed went saw began began said looked stared seem was seemed talk talked talked seemed become sketched made is going invited was know count does is called seemed had wanted tended wanted wondered said had took was was was blame was belonged panted had had denies bring said said thought shrank considered sat waited had had knew said asked said ran felt said stare looked said hated stand divorces had said sulked suggested had knew liked said played made rang forgave said was were asked said know have waiting like said glanced said smell quoted said asked said took quoted said attracted seemed know fascinated had said rang say resented liked let yielding felt got was dictate rang taught educating enjoyed seemed use liked listening found knew began thought asked began began belonged had wanted realized catering caught doing realized got peck beg began roused was went learned sat knew care went studied put began felt had fulfilled done know depended was felt owed showed had wanted turned preferred installed get sit sit listening took drifting seemed talking touched took asked stay said sensed touch go said sensed ascribed thought was let asked preferred said went was watching said asked turned said said sleep watched spent gazed did gave looked felt triumphing sleep ring lay gone stood forget won winning go going going do think disbelieved rest got said went had done went know went find was stood saw see sleep gone collected put said felt had was begun said said paused answered said said said felt believed believed felt said shook think said is said make looked said knitted sitting say mind swallow forgotten joined said stopped said said added said retorted said was said said stopped said asked replied said started halted said started said lapsed steered said kept came stopped said said sat going brushed mounting was said said said putting said started said had made said sounded shut gone said said has sat said stood said scrambled started resented made come jerked do do jabbed said do reply began put putting doing saw do do try seated jerked got moved stopped asked tried glanced added doing moved said have said heard glanced said added said failed clutching said looked heaved asked sighed said rose stooped looked said obliterated made said upset hates hated feel feel got knew find sell made sell take raised going said looked expects been started looked got said allowed worked made exploded looked get looked said stared said stared said stared thought know accepted admired help said wanted reading had said waiting said said asked looked said said gambled needs used made suspect had had decided is sitting said wrote wrote looking looking told found came going knew replied said find said made asked talked asked said said leaving said take told mind say said put want have detested had known refused kept was gave had said said admit admitted admitted knew felt thinks get 's squirm die thought betrayed weeping laid put let went hold said say lay gaze put becoming used getting got answered meant said replied sat taking said looked insisted asked was sprung glared dropped sat asked known leaned seemed was be said looked accept knows want leaves do want does want married left dressed bred terrified shipped liked lamed dressed attached hurt goading helped replied intended intended have asked hurt hurt understood loved stimulate wished see tell used 're asked frightened aroused brought thrilled display carried leave like kissed helped get get help asked made fixing hitting Tell hang abandoning asked nursed contradict helped helped valeted shaving have remarked shoving disliked married disliked married gave shave getting handling caught adored gave tempted kept hauled attracted help leave dressing touched got frightened fascinated hidden watched tired tired help braced haunted put tired drew disturb gone affect asked remembered interrupt told felt aroused caught asked snapped asked done been pushing Leave snarled Try done cried heave killed hated hate get hate wanted hate Hate hating love occupied told tell tell soothe determined tell having manage leave call called see wanted upset help told pressed asked told carry present disliked Did tell detested blasted get surprised leaving want leave wrapped pull fret drew kissed rocked kissed rebuked put meet dressed kept used done telling see home baronet downcast proud upper-class aristocracy shy bit unpopular haughty supercilious part shy thing lame interested sensitive angry years proud good man sort afraid polite forlorn handsome sure hopeless hopeless edgy anti-social right tall displeased frail aware strong alert alert famous clever misfortune warm much rage Pope uncomfortable yellow different aware wellfed gentleman patient flattered boss pits interested aware stiff queer tortured uneasy rusty networks listening-in afraid healthy afraid dead hanger-on sure man glad wrong pale yellow paler man deal much better somebody husband fool hard glad aware man child much evil silent silent speechless willing incapacity voice wife ruddy eyes shoulders hands father mother way ease class defenselessness father importance father position baronetcy marrying month satisfaction class ground tailors face voice eyes nature manner maiming men stories writing name writing mind mind work work books relations relatives books books instinct soul appearance eyes existence rooms way way man comment hopelessness orgasm best way ideas cronies cronies motor-chair gamekeeper own smooth face desire eyes idea gun shoulder voice arms legs pale way information mind stories equanimity self life success books photograph instinct writing stories psyche acquaintance chair writings talk sort race assurance tongue mouth Eva success books sort wife sort sort chair hair face eyes expression stiffness eyes way selfpossession room chin study tea study consciousness words obsession obsession words keeper ut grip insanity consciousness charm charm fastidiousness face cheeks jaw face body manuscript manuscripts colors service genius village income father stories stories amusement meat states yearning face mind weirdness efficiency declaration declaration protestations voice gamekeeper stunts reading voice books pit-manager glass life shoulders chest energy eyes dread wife life own chair coat nerves mind thoughts beating bounds room periods potency suggestion child child idea coal hand head rabbits brows room door welcome lameness legs chair wife steed chair feelings chair say apathy hat horn hand path motor gun coat heels finger shirt hat forehead brow stomach neck finger heels engine bit buzz levers engine brake inside pressure shoulder emphasis hand feet hold gun coat home foot head nose handkerchief coat weight head composure sort sort coal glimpse room pale eyes under-consciousness consciousness ego habit book assurance housechair anarchy wife wife handkerchiefs shirts things manner letter courage child own gamekeeper confidence face pulse face senses wife wife tail self manhood pride manhood self-pity eyes cheeks face body face arm shoulder shoulders face shoulders hair arms tears head body body part manhood hand will existence personality chair face eyes chair,Lady Chatterley's Lover,1
2,mdp.39015000608102,Parcival,1,had appeared been told began began began know man,"Winesburg, Ohio",1
3,mdp.39015000608102,Elizabeth,1,was went went went yearned cried clenched declared put look had crept went steadied hurried thought was told had thought felt worked heard was stood born startled dreamed tried got meant get walked thought felt blame blame sobbed put thought wondered lighted went decided blew reeled knew worshipped came thought sat remember married thought involved known passed began talked wondered come let talked said talked becoming sprang walked came said tried followed talked went turned began thought fall died stopped died died struggled put got explained visit alarmed called tell got love took paralysed held tall able timid beautiful happy perplexed hysterical face figure husband determination body eyes fists head hands life son body anxiety son hand teeth father name room son lips bed son father tke life mind father passion hand restlessness hand room mind hair head mind shoulders body mother girlhood father father mind father age marriage father decision life husband tale body passionately ride friend body knees son death bed mind eyes boy eyes marriage husband husband dream life Death,"Winesburg, Ohio",0
4,mdp.39015000608102,Enoch,1,informed emerged lived walked came realise was turn went studied had planned draw had grew understand make went went got got walked crept lived was stayed made wanted know tried sputtered stop knew wanted knew say had wanted wanted trembled ended began felt painted stopped began need began talk explained went seen mould began married married got y dismissed voted had came got talked talked remembered muttered climbed brought began felt began rented got gave mot stared come stayed seen went talked went told wanted chose met asked said stared sprang hid kept enlisted remembered understand hit visit excited visited married kept excited took drive asked boy old child fellow afraid unable proud happy happy happy passion mother place mother mind education brain development room room friends eyes friends voice room mind room pie room turn fancy hands body mind own life porch notion Words apartment marriage wife children wife way fancy people living world life feet room,"Winesburg, Ohio",1
5,mdp.39015002153180,Joy,1,came had done gone take sat went like looked smell had knew collected heard say see said said able strong remarks face telling name neck back eyes amazement,A Good Man is Hard to Find,0
6,mdp.39015002260167,Lennie,1,continued dipped sat said smiled dabbled watched imitated pushed looked said said looked grinned said held thought droned giggled imitated doing lay said got said lumbered taken came carried made backed contemplated reached approached stepped stepped heard sat looked said said went threw watched said knelt looked crawled knelt looked avoided sensed spoke broke shouted opened brought stopped choked said said said threw called put watched got finishing nodded understood smiled repeated dropped raised looked stared stiffened squirmed twisted looking said turned do do got ai messes ai know lying said gon comes mourned thought asked get raised watched said stared smiled tried cried went said leaned smiled ai watching cried move rolled do think take string ai ai come had do walk go coulda lifted jumps said ai do do seen holds think think think let let scared grabbed hurt jus wants ai came wore walked said said went said twisted concealing sat held scuttled said struggled want gon came crept got said reached said followed asked drummed said said watched said said said breathed subsided work go broke said nodded said smiling looked looked got gave cried backed was do covered cried took reached watched held held stood let crouched said said cried said held helped asked stuck know knows said smiled said walked came turned appeared stiffened smiled gulped said explained asked flapped said reached complained repeated lost advanced moved shouted said invited hunched said leaned said hesitated spoke laughed asked leaned pounded paused demanded repeated cried observed struggled repeated stood demanded edged said stood said growled grumbled whined cried reassured said pulled called went made said broke scratched said leaned insisted broke quit stopped said hesitated watched said coughed watched dropped looked looked looked said smiled said said sat pressed said move said agreed whined said turned said said put asked went said cried answered stood was sat sat looked put said said scooped continued made said unburied stroked went cried picked turned sat whispered rocked got stroked said worked said see looked shoveled looked glared looked was said said said swept said explained said stroked explained sighed said explained had come moved was explained chuckled cried said said stroked was begged began begged moved grew said shook said shook looked removed said lifted whispered pawed crouched said went picked said put crept crept called done done done done ??? went appeared came came knelt strained saw dropped sat watch embraced said pulled said turned said continued answered said moaned said said retorted cried put cried got cried said said looked said caid cried removed said turned looked turned obeyed pulled jarred lay lying went looked shook oughta walked startled puzzled imitated watched stay turned watching speak indicated ask know tell born took raised drowned get pullin told gets socked lynch followed got takin watched watched Get get garded fight see defeated leaned approached seen turned appraised consoled impressing do bring hurt seen found get bring lock finished interrupted obeyed close delighted son dumb baby dumb dumb damn fella scairt God brown frightened scairt embarrassed angry nuts head hat coat back paw fingers knees hat face hands pock hand hand hand face knees face face head knees feet hand freedom pocket voice hand hands cry lip eyes shoulder head face face advantage pocket mouth face bean bindle bed bed head head hands arms hands glance feet elbows eyes bunk tone elbow face eyes eyes ear bunk bunk Clara Clara coat shoulders bunk face knees neck shoulder stomach hands bunk dog right pup rollin bunk bunk lady head nose nose hands sides face paws hands face hand face eyes struggling fist paw hold hands mouth shoulders eyes face hand shirt smile hands ears smile smile tone glasses bunk chin palm eyes voice excitement knee voice attention torture face eyes bunk glasses eyes fingers seat interest bunk wrist pleasure cheek picture spine hand keep wrist knee hand half eyes lap bunk bunk voice eyes hand anger back knees sorrow fingers fingers woe face hand fingers fingers face hand hands hand hand hand coat lips head head side knees chin knees hat eyes head head voice voice head voice hands ears brain knees hat head back head head head set hand,Of Mice and Men,1
7,mdp.39015002311556,Colin,1,said make said said said lay done spoke said nodded said said lie said said look said looked said moved had boasted answered turn said lay thinking talked done said said said said read looked was was trusted said mind had said said lay said thinking said laughed wants says forget was watchin watchin keep have wants go go order like was lying turn answered said said sat shouted caught enjoyed thought going had looked said felt know heard thought told told wants try got having stopped stop 'Ll likes turned began scream was heaving heard gasped tried gulped said turned lay turned like spoke said pulled said said closed was worn looked was said cried began cried hear put said was is has talks said cried shouted gasped cried clutched began listening said had found arrived was sitting announcing knew felt sat added laughed feel said did felt found knew taken let listening was made said added said was listened answered heard marching passed talked think felt walked had fixed going liked said said had said leaned kept said whispered said saw watched look said saw had said went said caught darted asked felt said decided lying said answered said lay wondering had recovered commanded threw standing flung turned said looked showed said said said remembered asked said touched give getting remember liked said said looked said stretched began drove said set said stood said said know was lived made said turned demanded said frowned lay said said read drew cheered said asked thinking wondered saw smiled answered suggested said said thinking said began said go said said took looked kept sat sat paused give gone returned looked cried thinks finished goes explained flies makes lifts got groans says keeps eat says remembered appear said suggested said said pushed said were said enjoyed liked improved fell said watched do sitting did stood steadied do knew watch set beginning said giggled see standing said answered said gave said got said said said said thought said held felt said came lecture doing said said laid thinking did dropped do stretched threw realised cried demanded see talked saw answered remembered went known hoped help cried knew inquired said felt know pulled said took watched said stopped lifted staring said looking said explained said gets said shut get tried cried went went found spent walked sleep begun knew thought began go wondered feel went shrank walked returned go lived walked felt fell know fell began feel dreaming remembered thought was thought sat heard heard thought sprang hear answered awaken slept did expected planned thought drew managed looked said put ended told heard see startled amused trusted known take seen get bring take disobey born forgot tell show beat worked scold choked made see tell brought telling sent 'M cried told watched threatened thrown cried bring accused watching exclaimed watched helped brought looked asked saw uplifting carried replied given examined called watched obliged impress understood asked asked tired fast kind pleased healthier wrong strong child quiet ill boy weak ready overwhelmed late surprised spellbound king boy delighted goin goin bein invalid stranger dull ruddy good silent cripple invalid half ones head hand lashes cheeks eyes room elbow cushion pulse eyes room face cushion back carriage carriage sofa room back head pillow hand spine hunch mind father tantrums fear pillow face breath spine face face breaths storm face hand face hand eyes hand room face eyes bed face bed hand nose clothes eyes senses aches tantrum bed sofa gown beat fancy fancy bedside jacket arms pocket sofa rajah hand breakfast passage smile arms side shoulder right pocket life pleasure language sofa lap side feeling face chest eyes ears eyes voice hand beak Magic cushions locks forehead face answer head tantrums arm head eyes arm cheeks head boot chin hand face hand flush feet room peculiarities way life manners head smile face brows creatures smile smile face hand head cheeks introduction strength savin Magic legs father room sentence heels eyes chair head chair cushions annoyance wrist sleeve arm grandeur branch sofa skin eyes cheeks begun forehead lips eye sofa outbreak orders chair room tree face trowel feet trowel height arms face eyes face charmer cap cap hair face chin cheeks attention expression shoulder eyes shoulders face room fears detestation feet blood veins experiment mind days dreams thoughts soul boy dream feet side feet tallest hand father,The Secret Garden,1
8,mdp.39015008821251,Thomas Covenant,1,reached opened found left spent try reading reading trying sat said sighed pretended brings take got said standing had tasted gone seek realized pushed stood wavered see lost fighting felt lost end met went rode know believe breathed damage know believe hurts watching struck forced insulated ravish unable conscious leper house room disease fingers room rooms mind balcony daughter crime own forehead eyes eyes duplicities hands chest balance halfhand fist finger Unbelief life defense way response flesh,The Illearth War,1
9,mdp.39015028400326,Brenda Kay,1,slept brought slept ??? stirring sleeping said said held looked slept came stirred took came fell tucked smiled started cried cried knew slept stopped left had turn have called started said started screamed screamed come said hummed rest taking born get straddling lying scream screamed untended screaming reached let walked growing had walk was seemed said started hit napped whimpered find coming walked whispered was let said be sat said made giving screamed met trying try was was said smack gotten said turned followed shouted turned moved sitting looking kept was clapped having gazing helped starting slept walked were wandering shouted moved said were turned said took looked touched said walked leaning was rocking said turned said whispered smiled stood stood let breathing hollering swung looked ducking turned shivering turned brought made met unwrapping said hollering was standing said laughing set looked sat rocking gave was eating call taken stood called said said whispered whispered sat watched come make stood wrestling waking whining chosen was showed let held sit scooted shouted smiled sat flinched said kept liberated had given woke pulled made pulled said swatted turned was sat said said said said stored whispered said stood walk called said turned told been stand was live started flipping shoot pointed tested made brought came pay brought have end shouted took swatting hear whispered has left settled stepping sit is whispered roust dressed laid picked held take carrying dressed come surrounding held holding sat born handing touching bring saving took held holding take wake born was born born burned see rolling lift danced lifted gotten sent carried left hugged take dressed enrolling led led go hollered held living had handing Go kissed see followed handed see sing scared turned teach see stood stood come name watched said waking rinsed bear born hollered round headed known sister wrong time Idiot fine JEWEL women outside Kay interested nothing true TMR safe cheek Christmas dolled head face hand head hands ear steps nap already head room head chest head hands hands mouth teeth head pain head hand eyes walking set words cheek legs hand life hand eyes huh hand mind hand hand hand hair ear hand shoulder hand class turn shot teacher bedroom room underdrawers school face near radio life voice lap transistor door door Toxie door shoes pantlegs hand hand hand life drawings education name room face face pole hands hook life voice hand hand hand hand door door hand friends programs accomplishing meal legs room hand hands hand eyes eyes room,Jewel,0
