,bookid,name,has_disability,words,bookname
0,uc1.$b322793,Hugo,0,stayed told expressed had sold set expected had came said said said made believe returned begin hesitated looked said pursued said coming said reached told said come feel played playing mentioned growing shown thought heard forget insists felt said looks came said nettled prey said walked looked said came said answer designed bear turned said made is is declared was stood been been remembered looked had said wished had look say wished look stood looking looked put said said taken listened said waltzes said pushed turned said smiled walked said said put think wondered seemed set command expected said see reflected said said picked arguing talking go rehabilitated dissuaded compensate keep remember ask show turn vexed got attracted bore prepared struck find sending seek pleased pleased asked intended much furious angry boy extraordinary major horrid house childhood dressing-room arms friends bent conviction tennis pride head wakefulness regret aunts scrutiny hostess wife imagination press eyes face arm exclusion look behaviour senses actors collars,The Last September
1,uc1.32106002122734,Tom Robinson,0,done do sat raised showed was lived was passed was caught beating choked beating beating beating hit hit hit stand took been received moved had did took denied seemed happened spoke said ran continued come glanced ran swallowed said shut says did dared took go say said talking beat hesitated need toying sits possesses had was go taking running broke stop went had made moving given tried know done moved brought identified took bunged asked known asked ask asked do married believing sworn need charged put steered help acquit took shot stop got tired save forgotten silent left-handed years person dirt Negro whole specimen reminder man man word case trouble wife family house head arms neck gullet shoulders forehead testimony voice protesting eyes face teeth skin hand face discomfort hand mouth eyes eyes manners predicament answer hand skin shoulder conviction daddy friends case wife jury sho jury wife wife own yard death death death death demise existence widow employer,To Kill A Mockingbird
2,uc1.$b322793,Gerald,0,concluded missed conducted rejoined stand said did carrying find looked displaced was remember had said smiled said thought conceive sought thought asked said looked had sat formed smiled lay spoke sound had spoke turned looking had knew liked stood emerged saw saw lost hold receded wanted love said needed know is percolated was charged announced thinking heard had been tossing let affecting assimilated supposed looked liked come thought thought burned laughed kissed knew meant looked looked thought said went heard went expected heard turned came told tugged picked dropped pictured recollected recalled listened dared face took looked turned thought stood trying stepped shone said did sleeping walked concentrated said startled captured exclaimed have wandered slept circled thought had explained preceded was approached groping copied infer knew heard sighed caught hypnotized read confessed stay had see hear smiles said tell captured was leaned said felt opened turned was was drawn sealed regret added were saw spun looked came said yelled said dance woke said slid said said walked realize said thought said said said added be passed added looked seemed said had was threw hurt inquired exalted went came whispered was looking was has comes spoke come coming propped come said said whistled showed waved said thought watched stooped knew said surprised said went produced brought been appalled looked kissed said come thought said went turned given feeling guessed trundled exposed said said came smiled alarmed said nodded stopped disengaging brought thought rubbed noted said overruled said said stared stood had drew summed said said said said touched say know came waiting watched put stood said said said looked told listened concluded said standing come cried know watched saw have said ??? making come said explained cried noticed looked said liked eyed said knew were felt saluted was called pulling sees is is send going says feel told was been knew gave waited said told was informed introduced told saw worried worry describing hear smell saw saw lost hold loved love bring love surprised supposing shot shot make permitted cried eluded fortified encouraged left horrified wished driven freshened see swept marry marry disappointed see marry going borne comforted thought avenged struck watched see remember seen marry meet know taking understood alarmed asked given congratulated took marry find began forced described ruined hated ask get killed dependable musical much dead bodily pleasant delighted matter-of-fact aware shy side nervous flattered intellectual sleepy social dancer round closer excitable half woman dun wood dark definite good link black boy arm hand cheek eagerness party shoulder coming directness world emotions mother life reserve Lois attention intrigued lip eyebrows eyes teeth smile thoughts eyelids look eyes hair neck eye beauty people eyes pocket razor directness approach certainty wristwatch look steps absence trench-coat vitality hand tie mother hands woman body look head kissing attack raspberries cream sugar plate duty grip head country alertness constraint lips afternoon colonel personality tea kiss hand lashes hand coat hand hands eyes sleeve hand cigarette cigarette kisses smoothness mouth writing shoulder motor-bicycle continuity motor-bicycle ears way hair cigarette approach barrenness arm sensibilities uneomprehension touch arms singleness chin -RRB- childishness lashes mother legs attitude lightness friend niceness Lois chin collar moustache look severity indifference inflection face face wrist-watch brain self belt fingers departure room,The Last September
3,pst.000044192167,Copeland,0,sat sat cleared had read understand read sensed felt understood find began making knew caught knew twisted said held said adjusted sat cracked spoke said followed opened said jerked slept sleeping breathe meeting counted told say tell cleared said said nodded said were come said were said said laid answer got said coughed said said said coughed tried reached wiped said settled said know thought talked wiped said said coughed said said said give said said said lighted straighten shook brought speak kept felt coughed wanted think have had knew say tried said turned wanted held remembered smiled wrote went climbed encountered pondered come talked stood held walked stopped done crushed said said pressed drew leaned coughed held keeping held said said said dressed went had was said said slept have took bring cracked removed saw looked said sat thought approached sought said shook sat jerked felt felt speak said clamped thought eat refused sat picked speak lay made went said was was started saw drew looked seen remembered observed saw put moistened had turned rest said put felt give decide went kept took stood said scrutinized said washed tried say concentrate stood shook find recognize found settled remember welcomed speak say began explained spelled paused said loosened felt looked took bowed said choked felt swelled wanted wanted spoke moved held said set held replaced written read read make read leaned notice sit stood was moved clipped said stepped was said went slept had found drink brooded held sitting smelled look crumpled prepared looked wish kept finished looked turned-from knew mended rolled said pressed said pronounced moved followed followed waited walked touched knew looked heard listen sat held wiped raised asked think started hear looked gazed asked were sat rose turned walked cogitated think thought decided reached hesitate recognized said sat knew knew said said lay recognized said gave is pressed removed interrupted said said said said said took polished said leaned sat said looked snorted said held said moved said said pulled coughed kept slid leaned said clapped said panted struggled stay had was counted counted figured counted have walking have think got try go wanted watch hung watched followed followed go scrubbed went want opened was said rocked sat leave put heard determined exhorted entrust known known knew go talk said said said see climbed said said felt be wanted tried find knew go had strapped lived reached lived saw walked went rouse disturbed called connected excited asked seen take confused tell noticed look left left fretted welcomed see surrounding named followed asked tired seated named recognized determined released screamed failed made said see thief silent last dead drowsy dizzy silent tired unable deaf ??? able happy weary crazy fanatic ??? crazy kitchen head hands face lips skin hair skull eyes spectacles throat chair silence throat house legs glasses hands lap head fingers joints sleeves wrists hands body hands lips eyes mouth lips fingers head chest face face arms life throat voice spectacles fingers eyeballs throat eyes face hand eyes glasses head forehead face handkerchief spectacles chair children mouth handkerchief face mouth handkerchief glasses fingers lips eyes son pulse wrists fist chest son pulse voice voice house head hands throat summer nightshirt waist hand throat bathrobe hands head shawl face handkerchief mouth face head hands work kitchen home life fingers spectacles fingers eyelids glasses nose childhood mother father shabby hand sons knuckles eyes ears sleeves throat pulse throat throat teeth hat eyes hand lips tongue mind eyes hands glasses veins desk nerves bedroom patients nostrils hands composure arms spectacles face throat shirt throat pocket feet lips fists chest voice words elbow hand throat larynx hand tongue words body patients rule part hand chin neck nod nostrils breakfast breakfast eyes bowl hand hands head hands teeth tongue jaw hand coat head bowels coat hat knees hands hands head muscles face face face face throat eyes arms sides heart pocket head dressing-gown nightshirt spectacles nightshirt hand eyes hands nightshirt shoulder chair hands knees eyes hair throat hand eyes lips mouth nightshirt shoulder throat pillow hands eyes face cheekbones throat voice voice head neck lips mind brain face dress shawl shoulders mind thoughts hand head name life working heart bag bones head heart face suitcase hands heart,The Heart is a Lonely Hunter
4,mdp.39015040081708,Miss Lick,0,offered pay swears pay kept backed sat said wanted going says says explains likes wears calls cuts rambling talks mimics moves looks hollers comes patting grabs reaching does folds shakes runs telling wrapped feed rough that sweatshirt hand life tongue politics tone lift stretches head car asshole mouth chin hands jacket shoes voice bun cap smile efforts,Geek Love
5,pst.000044192167,Jake,0,come noticed leaned awoke slept lay thought recognized known lay held saw grasping lay sat moved said drank finished took remember wondered looked remember got owed packed began had took feel looked said ate have stranded get asked had got thanked asked leave accept said leaving recognized said left gone turned stood seen remembered wearing squinted held saw rubbed unrolled dropped saw combed jingled felt kept stood realized passed found known went skipped decided remembered noticed came felt remembered stood laughing slept said watched kept stopped stared said leaned opened dug laid read nodded bit known thinking left said began walk seemed entered stared walked wiped approached watched stick slipped walked said had asked nodded return stop walked stored walked sat settled spoke swallowed wanted dimmed sat got stopped had held said pulled sat picked said sucked said turned facing had asked brushed walked loitered thought wanted bought selected paid come left jerked leaned left put said tell caught said handled tried felt been held noticed felt leaned drank rolled do said pressed get wanted wanted wrote crumpled read kept stay found lay came walked come sat said leaned talking hit kept asked put realized shivered watched broke put gulped said shook held ate grasped stamped went talked looked held stuck fought swung returned got went dropped went knew talk awoke raised sharpened continued leaned said laughed laughed laughed walked began spoke raised stepped brought sat relaxed watched drank drank tried sat said felt strained see made sought closed awoke kept was talked seemed opened brought stood rubbed left said asked hung having go did talking smacked asked licked burned closed looked jerked shuffled leaned come wanted understand talk said walk took looked followed talked made hated thought feel gained had knew kept had cut drank worked sleep lay fell remember forgot awoke awoke walking carried stolen been think studied understand met seen rolled opened said leaned laughed looked pushed yelled turned settled let moved had had tried invited help overheard checking listened tickles struts is thinks got oughta tickles act watched fumed followed cut said let kept treated found had felt heard drew began went stayed sob roared banged jumped yelled stumbled sprawled found found stared called felt begun wrote tried knew left was feel asked read said brooded said tore said held waited knocked watched tiptoed fingered said said said turned said said said looked felt wanted come walked stared turned wanted said finished turned gulped stood realized staggered said draw leave walked watched leaned began murmured said swallowed walked turned turned rubbed repeated interrupted said get marries said insisted rested said stared said faltered asked said scowled rose said said swallowed said spoke said shook looked rushed ran went stopped held slowed vomited rested run remember started stamped working passed saw tried said licked said crossed lived locked moved began jerked said said paused grasped reached said sat inhaled took said said said held pushed laid heard stood took picked looked snarled reached walked going go leave like made getting stand want went lie was went feel went was had took bought worked hung scowled noticed left stranded followed watched sideswiped tell followed left question turn watched laughed laughed eased overcame asked draw concerning struck infuriated haunted used led hunted troubled held depressed barefooted found told offered dizzied choked suffocating watched interrupted interrupted blinded passed take told first quiet drunk drunk pale dummy lonesome restless ready sure alert tense drunk AngloSaxon hungry thirsty quick strong face mind eyes hands hands face face hair forehead mustache eyebrows lips mustache head fists hands clothes suitcase books clothes suitcase lips hands pockets face door eyes before eyes tie knee companion socks mustache fingers hand lip shoes head attention eyes accounts name hands fist eye lips mind room mouth hand fingers tie pocket head system face legs mustache voice mouth mind feet face mouth knee pocket shoes feet toes fly mustache head forehead face lips feet shoes fists mouth pocket head body head hands pockets face head face mustache ears glass veins mustache elbows knees head mouth forehead hand arm trousers acceptance tail fists temples thoughts pencil hand eyes clothes eyes fist knee share mouth hand head palm forehead foot body finger glass mustache fists nerves suit friend room head chair outburst forehead face laughter pockets arms meal face lip glass friend lips forehead mouth mouth body lips fingers eyes eyes forehead shirtfront lips hand face hands mind mustache tongue smooth forearm eyes face shoulder neck trousers feet face rolling elbow mouth stomach trousers head blood head room eyes fears arms eyes hand fists job thought face back bed nails Jake eyes chest footsteps knees pockets friend hand palms hand mouth nose lip nose hands legs ears eyeballs puff glass place wine feet eyes chair tie shirt hands thumb lips fist forehead mustache heels chin hand lips brow eyes knuckles face feet lips forehead face belly throat eyes hand mouth head mouth shirt head mustache room mind knees head suitcase arm clothes body shoes head hands eyes mouth hand mouth plate plate head arms hands face eyes handkerchief face mustache suitcase pocket fists shoulders arms journey feet back face face ears ears drunk fist mouth,The Heart is a Lonely Hunter
6,6479,Louis,0,remember xiv xi said xi spoke patted troubled watched accompanied councillor brother majesty power foot voice hat place eye face hand life,Notre Dame de Paris
7,mdp.39015046349141,Earl,0,given started started spent wanted says says held says rolled took handed says came says thought came says looked says watching take says found was says says says telephoning taking says looked went says says says says came says looking says knows says closing says says says locked told let let fool busy bad man damn man hands fingers overalls hat account confidence business watch business,The Sound and the Fury
8,mdp.39015040597794,Fay,0,came grabbed slipped know separated suspected invited kept reported wants said says wants run gone taken poured insisted understand has has run fails reacts knew moved ran got ended found slowed was made began threw caught stopped made began looked picture visualize have told annoyed met mentioned set take picked put watched take visit clear bright alert eager apartment hair throat lips arms appearance suggestion lethargy actions claws head cage regression friend room,Flowers for Algernon
9,6479,Charmolue,0,was said said recalled said inquired made accented waiting grown heard put see interfered was took made approached persist said hesitated said said raised said installed seated carry threw held carried feared felt looked press felt learned felt meditated considered buckle comprehending recalled demanded seen stupefied engaged hungry handsome glad busy ear hiding-place brother archdeacon reputation mind den face benignity voice own success order leg feet knees hands head feet head shoulders hands breath arms bosom possession treasure gnome own wife living duty,Notre Dame de Paris
